lon,lat,tas_mean,tas_trend_per_decade,tas_trend_p,huss_mean,huss_trend_per_decade,huss_trend_p,rsds_mean,rsds_trend_per_decade,rsds_trend_p,sfcwind_mean,sfcwind_trend_per_decade,sfcwind_trend_p,ps_mean,ps_trend_per_decade,ps_trend_p
107.25,21.75,22.788944,-0.5117711153897373,0.3337138014783508,15.93318,0.04486465454101563,0.8971950886858298,150.53111,-5.4664796771425195,0.5281205868669675,2.370223,-0.1709744569027063,0.33620019435709214,960.7,-0.3647497928503788,0.3170490239488006
107.25,22.25,23.380447,-0.6792490410082268,0.2419288885515408,15.273477,0.12690960277210583,0.6662111763991617,151.24435,-5.994739879261363,0.5130168509105266,2.277579,-0.19790193528840036,0.2854929525959983,986.17114,-0.36373623934659094,0.3506526275267892
107.75,21.75,22.387848,-0.45578164765329077,0.3836944416522811,15.528486,0.11404863993326823,0.7418391069072252,156.70908,-5.164200291489109,0.5323606330282513,2.2818594,-0.17782824689691717,0.2259509323181489,967.6434,-0.3673206676136364,0.3281527521412479
107.75,22.25,23.106018,-0.6624523509632457,0.24279633930805228,15.101943,0.18470741040778882,0.5443818705711567,151.11646,-4.992479728929925,0.574991920093415,2.3563461,-0.2119902263988148,0.204353137195092,985.8991,-0.35813950047348486,0.3541693768626125
108.25,21.75,22.896244,-0.42375344941110316,0.37896283071045583,15.225762,0.22208693533232715,0.4759440906377957,159.81418,-5.645224831321023,0.5050021333420818,2.8520215,-0.14053664062962387,0.4509819812783503,997.3875,-0.3745893998579546,0.3473883237966824
108.25,22.25,22.71799,-0.5945216092196378,0.27644546181585083,14.824913,0.26132577838319726,0.4092129417624559,150.10371,-5.328292384292139,0.5235180833822833,2.7284226,-0.21161119865648673,0.25542541020845627,991.8189,-0.35110751065340906,0.3474084790112109
108.25,22.75,22.733658,-0.6097180915601326,0.2669023881128481,14.484325,0.2145906506162701,0.4524969392520055,145.92274,-5.659274939334754,0.4996990875125959,2.6477513,-0.18797250227494675,0.33729143547490753,996.24176,-0.3484219637784091,0.34474999768468495
108.75,18.75,25.01666,-0.3342672405820904,0.5186492259924714,17.124718,0.31046098651307996,0.5448117612397649,197.4985,-1.215136903705019,0.8824256468681447,2.8684978,-0.21112589402632279,0.15924909666814677,988.90027,-0.42090953480113635,0.3997646508329787
108.75,19.25,25.532253,-0.6168008284135298,0.26847348564135365,16.845022,0.36992448748964246,0.4316612848633881,195.71214,-0.6331333969578599,0.9383571344337038,3.7203343,-0.42744756467414624,0.07764607344404004,1003.4042,-0.3779814749053031,0.4512094467721761
108.75,21.75,23.466923,-0.49579655040394177,0.29261347041972713,15.21164,0.2622065110640092,0.40326064470336687,163.09384,-5.329692493785512,0.5258735978525972,3.4822094,-0.32208504821314954,0.14262552486722913,1007.5879,-0.3693292791193181,0.3645859244898739
108.75,22.25,22.484892,-0.5984944430264559,0.2439825774238319,14.265113,0.3860000841545336,0.2444521415714927,150.22661,-4.779322768702652,0.5661240578368117,3.1444585,-0.29929127837672376,0.14036016240341198,1000.9018,-0.3523245146780303,0.3603844189293683
108.75,22.75,22.577248,-0.6146351207386364,0.2488639667586758,14.33688,0.3204033013546106,0.3162543469695984,144.7845,-5.616493918678977,0.4873826677264699,2.9757855,-0.2631192351832534,0.1866521735868424,997.397,-0.34503728693181823,0.349878767257579
109.25,18.75,23.90324,-0.35427024147727276,0.5159119551878613,16.905357,0.24272814663973724,0.6163682708428264,186.5998,-1.3519777240175188,0.8590597341205058,1.9841676,-0.1318859403783625,0.2296303873630812,961.67755,-0.3988850911458333,0.41234887660848896
109.25,19.25,23.805168,-0.6891432097463897,0.2252040257452571,16.103056,0.18540630918560605,0.6415419332793121,184.77953,-2.1538474343039775,0.810880017610131,2.5258214,-0.34796073219992896,0.04363402991693408,973.5399,-0.38072990648674243,0.43799271300546627
109.25,19.75,25.366117,-0.8431227712920218,0.11744715233485861,16.616034,0.3084122628876657,0.43610035244862394,187.88953,-2.3567329175544507,0.7906242260616174,3.2400703,-0.5433992906050249,0.013156287796099286,1005.1806,-0.34394235321969696,0.4791444626536796
109.25,21.75,23.523825,-0.6588112802216501,0.18576943254809464,15.120443,0.23325446157744434,0.44309508459136027,166.48012,-4.254933675130209,0.6002276379927339,3.2414668,-0.3083858345494126,0.12068324078352648,1006.28217,-0.3510631214488636,0.38945919313031374
109.25,22.25,22.484777,-0.6326877709591028,0.2227338056573137,14.2469,0.3808709924871271,0.2665886641911332,151.34023,-5.1488628965435606,0.5279645204392863,2.982451,-0.28810012701785925,0.14156093400582176,997.7858,-0.3406316583806818,0.3703424414831428
109.75,18.25,25.352007,-0.08155568440755209,0.8677809327528513,17.72994,0.1510228243741122,0.751941072972125,185.5807,-1.3298598780776516,0.8586387994699977,2.8728921,-0.012239051587653885,0.9359582370413552,998.5258,-0.5240589488636364,0.37190576747503873
109.75,18.75,23.887833,-0.30533854166666663,0.5317918134533609,17.081156,0.2028356609922467,0.6617527673931982,178.05171,-1.2497854521780303,0.8722395662125295,2.1909215,-0.13425603779879483,0.26976248495069816,962.4824,-0.4346516927083333,0.4010706800135384
109.75,19.25,24.296238,-0.6217514962861033,0.23798523595257332,16.935665,0.07840139215642757,0.8444367384674848,173.27628,-2.315181847774621,0.8054931380648355,2.340677,-0.38139012365630176,0.011064715462813547,975.824,-0.39183460582386365,0.44663872729291365
109.75,19.75,25.113815,-0.7772008722478694,0.11136797927162335,16.717705,0.18514841253107245,0.6149122779759542,183.33746,-2.278689297762784,0.8012234388173121,2.997345,-0.6047343485283129,0.0033185499322593,1000.8253,-0.35668205492424243,0.4733244757856907
109.75,20.75,24.627161,-0.7688167456424598,0.05359366937197886,15.909952,0.2866074533173532,0.39592632143113904,176.80554,-1.9485492128314394,0.8043846355808164,3.6720223,-0.6688109600182736,0.004751470622399767,1006.6073,-0.358084013967803,0.44237167224417884
109.75,21.75,23.39916,-0.6749713782108191,0.14050677981134127,14.99726,0.2836330298221473,0.3490835456048686,161.4823,-4.204671223958333,0.5903234826773638,3.085231,-0.3685750527815385,0.054768140156396944,1002.8454,-0.35667465672348486,0.3987569925497392
109.75,22.25,22.422386,-0.6047520493016099,0.20720593244591193,14.445731,0.4575594121759588,0.19184053514865598,152.07042,-4.880273067589963,0.5459836871406597,2.7110577,-0.29761967514500476,0.07519581362877448,990.0473,-0.34441953716856055,0.3839968444311781
110.25,18.75,25.141607,-0.3336345788204309,0.46722729800289264,17.725994,0.2596948797052557,0.5548511204178085,178.68942,0.08301890980113637,0.9917799247428913,3.0759275,-0.19764533187403827,0.2012201595986381,992.9798,-0.4733035925662879,0.41006231022611467
110.25,19.25,24.320082,-0.3538197604092685,0.4723982626666907,16.537897,0.2386952024517637,0.5709755191272037,175.63908,-0.6947446880918561,0.9402956759911505,2.9918556,-0.2693314552307129,0.08593452951366687,995.4028,-0.44492039535984845,0.4211587418614573
110.25,19.75,24.630033,-0.4618093317205255,0.30324406060170955,16.46299,0.237483515883937,0.5432458424768726,183.46738,-0.4484900272253788,0.9610438331048645,3.5134375,-0.4727780313202829,0.02180820103489747,1003.1874,-0.40023156368371215,0.45041569395476494
110.25,20.75,24.51888,-0.7600168170350969,0.10959480035682477,16.046505,0.36362630670720875,0.36805566192359757,173.36302,-2.024697043678977,0.8010135535271776,3.5227227,-0.5353379394068862,0.017036968389660248,1005.415,-0.37785200639204547,0.43572060178342265
110.25,21.25,24.185442,-0.5095758149118135,0.23259165248460772,15.61591,0.47475306193033856,0.22170231824338932,166.888,-3.7058290423768936,0.6302734218960422,3.1799786,-0.35789515755393286,0.038550982132627316,1007.4383,-0.38139574455492425,0.4098470756441289
